"Sage Order#","Proposal Number",Tag#,Product,"Product Description","# of Nets","Item Description","Item Code",QuantityPerNet,TotalQuantity,UOM,Step,"Activity Code","Expected Labor Time","Total Expected Labor Time","Actual Labor Time","Shipping Location","Product Location","Inventory Location","Expected Shipping Date",LOT,Notes,"Ship Weight","Material Cost","Labor Cost"
,030618BS1434,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 15.00 FT x 2.00 FT",1,"Snap Hook 120mm ZP",SH120ZP,6,6,EA,210,ASY,0.1,0.1,,430,181,181,,,,0.39,999999999,999999999
,030618BS1434,,PSNCFR,"Custom Personnel Net 3-1/2in Dupont Nylon Mesh FR, 1/2in HTPP Steel Line Rope Border and Hooks per ANSI A10.11-2010; Net Size: 15.00 FT x 2.00 FT",1,"Art No 2017G Black Plastic Thimble for Corner Attachment Please ship with Attachment Screws
Art No 2017G Black Plastic Thi",TMPSN,4,4,EA,220,DRIL,0.13333,0.13333,,430,181,181,,,,0.1,999999999,999999999
,030618BS1434,,ROCBLOC-10K,"RocBloc Block Containment System - Design Load 10,000 lb;820 HTPP 2.5in SQ with DNR Debris Liner;Size: 3.00 FT x 3.00 FT;Color: Sand;Border: Webbing with Grommets  1.00 ft OC ",2,"820SD HTPP Sand 2.5in Sq",212-060-08,9.27,18.54,SF,100,CUTS,0.016,0.032,,430,181,181,,,,0.059,999999999,999999999
,030618BS1434,,ROCBLOC-10K,"RocBloc Block Containment System - Design Load 10,000 lb;820 HTPP 2.5in SQ with DNR Debris Liner;Size: 3.00 FT x 3.00 FT;Color: Sand;Border: Webbing with Grommets  1.00 ft OC ",2,"Webbing Polypropylene 2in Red",WPP200RD,6.6656,13.3312,FT,100,MSND,0.075,0.15,,430,181,181,,,,0.0375,999999999,999999999
,030618BS1434,,ROCBLOC-10K,"RocBloc Block Containment System - Design Load 10,000 lb;820 HTPP 2.5in SQ with DNR Debris Liner;Size: 3.00 FT x 3.00 FT;Color: Sand;Border: Webbing with Grommets  1.00 ft OC ",2,"2 Spur Long Barrel Eyelet  Washer Nickel2 Spur Long Barrel Eyelet  W",GMT-SP2,16,32,EA,240,GRMT,0.15,0.3,,430,181,181,,,,0.006,999999999,999999999
,030618BS1434,,LPN,"Netform Lily Pad Net with Associated SS Attachment Hardware : NO SPREADER BARS;Size: 2.00 FT x 2.00 FT;Body Length: .00 FT",1,"GC16-E Alum Eye Ferrule",ALGC16E,4,4,EA,260,FRP2,0.13333,0.13333,,430,181,000,,,,0.136,999999999,999999999
,030618BS1434,,LPN,"Netform Lily Pad Net with Associated SS Attachment Hardware : NO SPREADER BARS;Size: 2.00 FT x 2.00 FT;Body Length: .00 FT",1,"5/8in Lifting Eye Nut SS",LEN58SS,4,4,EA,260,ASY,0.004,0.004,,430,181,000,,,,0.53,999999999,999999999
,030618BS1434,,LPN,"Netform Lily Pad Net with Associated SS Attachment Hardware : NO SPREADER BARS;Size: 2.00 FT x 2.00 FT;Body Length: .00 FT",1,"1/2 x 6 Jaw  Eye Closed Body",TB126JESS,2,2,EA,260,MFER,0.03333,0.03333,,430,181,000,,,,1.24,999999999,999999999
,030618BS1434,,LPN,"Netform Lily Pad Net with Associated SS Attachment Hardware : NO SPREADER BARS;Size: 2.00 FT x 2.00 FT;Body Length: .00 FT",1,"1/2 Thimble SS",TM12SS,4,4,EA,260,MFER,0.01667,0.01667,,430,181,000,,,,0.08,999999999,999999999
,030618BS1434,,LPN,"Netform Lily Pad Net with Associated SS Attachment Hardware : NO SPREADER BARS;Size: 2.00 FT x 2.00 FT;Body Length: .00 FT",1,"Acorn Nut 5/8 SS",AN58SS,4,4,EA,899,PACK,0.06667,0.06667,,430,181,000,,,,0.12,999999999,999999999
